TeamId,TeamName,SubmissionDate,Score
2556190,"Kaori Momoki","2018-12-21 01:08:45",1.91401
2566394,TA,"2019-01-12 05:25:21",2.44690
2582239,coffee,"2019-01-12 05:27:08",1.78541
2571976,mansion_brothers,"2019-01-12 06:55:19",0.65222
2582239,coffee,"2019-01-12 07:20:08",1.77757
2582239,coffee,"2019-01-12 07:20:24",1.61464
2582239,coffee,"2019-01-12 07:22:40",1.01180
2582239,coffee,"2019-01-12 07:35:43",0.79968
2566394,TA,"2019-01-12 07:40:59",2.43372
2571976,mansion_brothers,"2019-01-12 07:44:32",0.62404
2635678,Fisheye,"2019-01-12 07:44:42",0.79614
2582239,coffee,"2019-01-12 07:46:56",0.77757
2571976,mansion_brothers,"2019-01-12 07:49:23",0.61615
2635678,Fisheye,"2019-01-12 07:50:42",0.75884
2635628,CAN,"2019-01-12 07:51:19",1.27549
2635678,Fisheye,"2019-01-12 07:54:37",0.75067
2635678,Fisheye,"2019-01-12 08:30:58",0.71911
2571976,mansion_brothers,"2019-01-12 08:39:22",0.44561
2635578,Fathers,"2019-01-12 09:42:26",1.65849
2635647,Queen,"2019-01-12 12:57:47",0.93117
2635647,Queen,"2019-01-12 13:05:33",0.87563
2635628,CAN,"2019-01-12 14:55:53",1.19794
2635578,Fathers,"2019-01-12 16:08:20",0.88391
2635578,Fathers,"2019-01-12 16:22:10",0.88391
2635578,Fathers,"2019-01-12 16:31:25",0.88391
2635578,Fathers,"2019-01-12 16:45:10",0.88208
2596018,"Toshiki Saito","2019-01-12 18:39:48",0.58234
2635647,Queen,"2019-01-12 22:03:04",0.73702
2635647,Queen,"2019-01-12 22:13:36",0.72911
2635628,CAN,"2019-01-13 02:36:18",0.69854
2635628,CAN,"2019-01-13 09:38:33",0.58264
2635628,CAN,"2019-01-13 13:35:59",0.52429
2635628,CAN,"2019-01-14 14:50:18",0.46393
2596018,"Toshiki Saito","2019-01-14 18:09:04",0.46604
2635678,Fisheye,"2019-01-15 01:23:13",0.71460
2635678,Fisheye,"2019-01-15 01:38:15",0.69185
2635678,Fisheye,"2019-01-15 02:06:45",0.66246
2635678,Fisheye,"2019-01-15 04:04:10",0.64513
2635647,Queen,"2019-01-15 06:38:26",0.33266
2596018,"Toshiki Saito","2019-01-15 15:20:43",0.46575
2571976,mansion_brothers,"2019-01-17 13:01:00",0.39856
2571976,mansion_brothers,"2019-01-17 13:15:27",0.36475
2571976,mansion_brothers,"2019-01-17 13:59:56",0.35496
2627804,"we want 5000choen","2019-01-19 03:57:17",0.30725
2635628,CAN,"2019-01-19 15:47:50",0.35720
2635678,Fisheye,"2019-01-23 04:02:36",0.63801
2635678,Fisheye,"2019-01-23 06:00:14",0.63682
2627804,"we want 5000choen","2019-01-23 13:28:04",0.30537
2571976,mansion_brothers,"2019-01-24 00:48:26",0.34149
2571976,mansion_brothers,"2019-01-24 00:58:58",0.31896
2571976,mansion_brothers,"2019-01-24 05:19:46",0.31685
2635628,CAN,"2019-01-25 03:04:16",0.35528
2582239,coffee,"2019-01-26 05:46:56",0.61452
2635678,Fisheye,"2019-01-26 05:58:09",0.63634
2635678,Fisheye,"2019-01-26 06:29:21",0.63523
2627526,"Kazushi Okamoto","2019-01-26 06:40:55",1.24276
2635678,Fisheye,"2019-01-26 06:43:55",0.62662
2635628,CAN,"2019-01-26 07:04:47",0.34462
2571976,mansion_brothers,"2019-01-26 07:10:00",0.31505
2635678,Fisheye,"2019-01-26 07:16:43",0.61814
2635678,Fisheye,"2019-01-26 07:26:12",0.54871
2571976,mansion_brothers,"2019-01-26 07:32:37",0.30345
2635628,CAN,"2019-01-26 07:51:34",0.34420
2635678,Fisheye,"2019-01-26 13:02:08",0.54688
2571976,mansion_brothers,"2019-01-28 04:26:04",0.30163
2571976,mansion_brothers,"2019-01-28 04:27:05",0.30095
2571976,mansion_brothers,"2019-01-28 04:29:21",0.29795
2566394,TA,"2019-01-28 09:50:39",0.81194
2566394,TA,"2019-01-28 10:24:31",0.69301
2571976,mansion_brothers,"2019-01-29 06:04:30",0.29267
2635678,Fisheye,"2019-01-29 07:36:18",0.51131
2635678,Fisheye,"2019-01-30 06:32:41",0.49556
2635678,Fisheye,"2019-01-30 07:40:32",0.41275
2582239,coffee,"2019-01-30 14:11:56",0.51767
2635678,Fisheye,"2019-01-31 02:31:26",0.37001
2635678,Fisheye,"2019-01-31 09:56:24",0.35763
2566394,TA,"2019-01-31 14:30:18",0.53567
2566394,TA,"2019-01-31 14:52:02",0.38736
2566394,TA,"2019-01-31 18:11:15",0.37679
2635678,Fisheye,"2019-02-01 02:46:33",0.34772
2635678,Fisheye,"2019-02-01 04:19:33",0.34701
2566394,TA,"2019-02-01 06:48:02",0.37482
2635628,CAN,"2019-02-02 08:46:28",0.34137
2582239,coffee,"2019-02-03 00:54:51",0.42923
2582239,coffee,"2019-02-03 03:44:33",0.33304
2589776,Shingo.S,"2019-02-03 18:54:22",0.45616
2589776,Shingo.S,"2019-02-04 16:32:34",0.45175
2635678,Fisheye,"2019-02-05 05:32:02",0.34688
2635678,Fisheye,"2019-02-05 07:46:12",0.34198
2635647,Queen,"2019-02-05 08:06:34",0.32393
2635678,Fisheye,"2019-02-05 09:22:45",0.33963
2589776,Shingo.S,"2019-02-05 13:21:42",0.37968
2589776,Shingo.S,"2019-02-06 05:00:48",0.34354
2589776,Shingo.S,"2019-02-06 05:12:58",0.34062
2635678,Fisheye,"2019-02-08 06:27:57",0.33486
2635678,Fisheye,"2019-02-09 04:05:51",0.33482
2635678,Fisheye,"2019-02-09 05:08:08",0.32836
2635578,Fathers,"2019-02-09 05:16:31",0.79140
2571976,mansion_brothers,"2019-02-09 05:22:55",0.29267
2635578,Fathers,"2019-02-09 06:01:50",0.63807
2635678,Fisheye,"2019-02-09 06:39:36",0.32774
2635578,Fathers,"2019-02-09 06:42:58",0.44540
2635578,Fathers,"2019-02-09 06:57:36",0.42035
2582239,coffee,"2019-02-09 07:23:41",0.33214
2635578,Fathers,"2019-02-09 07:28:47",0.41831
2635578,Fathers,"2019-02-09 08:14:56",0.41438
2635678,Fisheye,"2019-02-09 12:17:27",0.31372
2635647,Queen,"2019-02-10 00:51:36",0.31744
2571976,mansion_brothers,"2019-02-11 07:35:28",0.29225
2635678,Fisheye,"2019-02-12 04:23:44",0.31308
2571976,mansion_brothers,"2019-02-12 07:29:35",0.29073
2635678,Fisheye,"2019-02-12 23:12:31",0.31252
2635678,Fisheye,"2019-02-12 23:15:06",0.31248
2635678,Fisheye,"2019-02-12 23:41:52",0.31218
2635678,Fisheye,"2019-02-13 02:23:38",0.31111
2571976,mansion_brothers,"2019-02-13 05:21:50",0.28957
2635678,Fisheye,"2019-02-13 07:35:38",0.31109
2635678,Fisheye,"2019-02-13 07:36:52",0.31076
2635678,Fisheye,"2019-02-13 07:57:33",0.31062
2566394,TA,"2019-02-13 10:20:42",0.33467
2635578,Fathers,"2019-02-13 17:01:14",0.40833
2635578,Fathers,"2019-02-13 17:07:36",0.40315
2635578,Fathers,"2019-02-13 17:09:05",0.40009
2635578,Fathers,"2019-02-13 17:11:20",0.39898
2635578,Fathers,"2019-02-13 17:13:24",0.39616
2635647,Queen,"2019-02-13 20:15:02",0.31083
2635647,Queen,"2019-02-14 17:47:13",0.17555
2635678,Fisheye,"2019-02-15 06:59:15",0.30925
2635628,CAN,"2019-02-15 10:45:39",0.33226
